date,reference_start,target_range,field,value
2023-03-30,2025-09-17T00:00:00Z,475bps - 475bps,Rate: 75th percentile,429.63
2023-03-30,2025-12-17T00:00:00Z,475bps - 475bps,Rate: 25th percentile,148.29
2023-03-30,2025-12-17T00:00:00Z,475bps - 475bps,Rate: mean,300.00
2023-03-30,2025-12-17T00:00:00Z,475bps - 475bps,Rate: mode,256.56
2023-03-30,2025-12-17T00:00:00Z,475bps - 475bps,Rate: 75th percentile,433.76
2023-03-30,2026-03-18T00:00:00Z,475bps - 475bps,Rate: 25th percentile,78.52
2023-03-30,2026-03-18T00:00:00Z,475bps - 475bps,Rate: mean,300.00
2023-03-30,2026-03-18T00:00:00Z,475bps - 475bps,Rate: mode,141.54
2023-03-30,2026-03-18T00:00:00Z,475bps - 475bps,Rate: 75th percentile,573.14
2023-03-31,2023-06-21T00:00:00Z,475bps - 500bps,Rate: 25th percentile,476.36
2023-03-31,2023-06-21T00:00:00Z,475bps - 500bps,Rate: mean,487.49
2023-03-31,2023-06-21T00:00:00Z,475bps - 500bps,Rate: mode,506.54
